Ocell [especie=234, habitat=234, tempsNavegacio=234, genere=423, horaArribada=423, tamany=234.0, vent=234, nubositat=234, direccioVent=234, embarcacions=234, parasits=false]
Alga [especie=234, habitat=243, tempsNavegacio=234, genere=56234, horaArribada=2342, tamany=34.0, vent=4356, nubositat=4563, direccioVent=4635, profunditat=4563, temperaturaSuperficial=4563]
Cartilaginos [especie=asd, habitat=asd, tempsNavegacio=asd, genere=asd, horaArribada=asd, tamany=1.0, vent=asd, nubositat=asd, direccioVent=asd, profunditat=2, temperaturaSuperficial=3, embarcacions=4, numHams=6, tipusEsquer=5, proshark=true, parasits=true, precenciaHams=true]
Cartilaginos [especie=asd, habitat=asd, tempsNavegacio=asd, genere=asd, horaArribada=asd, tamany=1.0, vent=asd, nubositat=asd, direccioVent=asd, profunditat=1, temperaturaSuperficial=1, embarcacions=11, numHams=0, tipusEsquer=1, proshark=false, parasits=false, precenciaHams=false]
Cartilaginos [especie=a, habitat=s, tempsNavegacio=d, genere=f, horaArribada=g, tamany=1.0, vent=j, nubositat=k, direccioVent=l, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=0, tipusEsquer=1, proshark=true, parasits=true, precenciaHams=false]
Cartilaginos [especie=q, habitat=w, tempsNavegacio=e, genere=r, horaArribada=t, tamany=2.0, vent=u, nubositat=i, direccioVent=o, profunditat=1, temperaturaSuperficial=2, embarcacions=3, numHams=5, tipusEsquer=4, proshark=false, parasits=false, precenciaHams=true]
Cartilaginos [especie=a, habitat=a, tempsNavegacio=a, genere=a, horaArribada=a, tamany=1.0, vent=a, nubositat=a, direccioVent=a, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=1, tipusEsquer=1, proshark=true, parasits=true, precenciaHams=true]
Cartilaginos [especie=asd, habitat=asd, tempsNavegacio=asd, genere=asd, horaArribada=asd, tamany=1.0, vent=asd, nubositat=asd, direccioVent=asd, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=1, tipusEsquer=1, proshark=true, parasits=true, precenciaHams=true]
Cartilaginos [especie=a, habitat=a, tempsNavegacio=a, genere=a, horaArribada=a, tamany=1.0, vent=a, nubositat=a, direccioVent=a, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=0, tipusEsquer=1, proshark=false, parasits=false, precenciaHams=false]
Cartilaginos [especie=1, habitat=1, tempsNavegacio=1, genere=1, horaArribada=1, tamany=1.0, vent=1, nubositat=1, direccioVent=1, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=0, tipusEsquer=1, proshark=false, parasits=false, precenciaHams=false]
Cartilaginos [especie=1, habitat=1, tempsNavegacio=1, genere=1, horaArribada=1, tamany=1.0, vent=1, nubositat=1, direccioVent=1, profunditat=1, temperaturaSuperficial=1, embarcacions=1, numHams=0, tipusEsquer=1, proshark=false, parasits=false, precenciaHams=false]
Cartilaginos [especie=test1, habitat=test2, tempsNavegacio=test3, genere=test4, horaArribada=test5, tamany=1.0, vent=test6, nubositat=test7, direccioVent=test8, profunditat=2, temperaturaSuperficial=3, embarcacions=4, numHams=5, tipusEsquer=test9, proshark=true, parasits=true, precenciaHams=true]
Ocell [especie=tes1, habitat=tes2, tempsNavegacio=tes3, genere=tes4, horaArribada=tes5, tamany=1.0, vent=tes6, nubositat=tes7, direccioVent=tes8, embarcacions=2, parasits=true]
